model,dataset,mean_magnitude,std_magnitude,mean_cosine_sim,std_cosine_sim
gpt2,g1s,182.0227,14.406711,0.95697165,0.063558325
gpt2,g1m,190.30432,12.363338,0.9463147,0.0754979
gpt2,g1c,189.6884,11.891402,0.92379373,0.086310565
gpt2,g2s,196.46045,9.849799,0.9727491,0.005167114
gpt2,g2m,223.27657,8.831893,0.9810189,0.0037372638
gpt2,g2c,227.97287,4.172365,0.9819221,0.0022422622
gpt2,g3ms,213.96898,6.285055,0.9536385,0.018520942
gpt2,g3cs,201.63724,3.4606946,0.8480414,0.03146407
gpt2,g4ms,201.43433,9.125024,0.961378,0.031058175
gpt2,g4cs,194.90292,6.9432216,0.8888851,0.056486554
gpt2-medium,g1s,225.86037,29.084414,0.94140583,0.118791625
gpt2-medium,g1m,208.43689,21.19805,0.84302866,0.16405182
gpt2-medium,g1c,207.86014,18.761349,0.77994204,0.13595803
gpt2-medium,g2s,241.45984,24.646374,0.9768585,0.011779563
gpt2-medium,g2m,243.12646,15.706813,0.9636208,0.02750404
gpt2-medium,g2c,235.22652,5.8378224,0.8777478,0.035573896
gpt2-medium,g3ms,229.88542,8.42193,0.6542747,0.10810114
gpt2-medium,g3cs,226.36667,5.1541204,0.53282744,0.053044476
gpt2-medium,g4ms,208.72012,14.573984,0.7640525,0.13242756
gpt2-medium,g4cs,207.87357,7.77033,0.57222164,0.0904273
gpt2-xl,g1s,31.719105,2.7564816,0.35992578,0.07846032
gpt2-xl,g1m,32.522358,1.9126066,0.33932734,0.044749666
gpt2-xl,g1c,32.97116,1.5956963,0.35603046,0.03594176
gpt2-xl,g2s,29.287016,1.9593273,0.31790474,0.03799864
gpt2-xl,g2m,32.630573,0.96750325,0.3300006,0.021456957
gpt2-xl,g2c,35.173416,0.8450346,0.3288084,0.011503557
gpt2-xl,g3ms,35.89384,0.7987406,0.3634085,0.017648537
gpt2-xl,g3cs,37.64896,0.51126575,0.35222113,0.008646024
gpt2-xl,g4ms,33.76707,1.6556263,0.3297167,0.029065752
gpt2-xl,g4cs,35.83168,1.1203512,0.34890416,0.019005118
bert,g1s,15.108106,0.8196749,0.37206796,0.04927153
bert,g1m,15.343181,0.5724092,0.35670182,0.04955289
bert,g1c,15.688875,0.37626922,0.3306597,0.030829761
bert,g2s,14.815677,0.5601895,0.33926782,0.029151747
bert,g2m,14.313571,0.24014272,0.4310782,0.023620218
bert,g2c,14.145245,0.15044187,0.39910105,0.012503294
bert,g3ms,14.536914,0.19544894,0.45260355,0.016634597
bert,g3cs,14.705902,0.10648038,0.40381306,0.009246669
bert,g4ms,14.8744755,0.44444406,0.42809612,0.03394681
bert,g4cs,14.729905,0.16702995,0.3980027,0.014542879
biobert,g1s,13.851758,0.32465428,0.63951457,0.0442075
biobert,g1m,14.345915,0.34366277,0.5620244,0.04591522
biobert,g1c,15.028945,0.28340712,0.47393396,0.037740335
biobert,g2s,13.937908,0.19958313,0.6151125,0.032917585
biobert,g2m,14.035908,0.15906663,0.5858624,0.020272436
biobert,g2c,14.388734,0.07185233,0.52015084,0.0102633415
biobert,g3ms,14.251735,0.088623665,0.579156,0.013476455
biobert,g3cs,14.903373,0.0630447,0.4848627,0.0066342736
biobert,g4ms,14.395944,0.19625969,0.5446688,0.027158443
biobert,g4cs,14.9189825,0.089857094,0.48078337,0.012892984
clinicalbert,g1s,14.909067,0.33463737,0.63655764,0.036043566
clinicalbert,g1m,15.368433,0.36977112,0.55194,0.041539393
clinicalbert,g1c,15.998266,0.2696113,0.4772395,0.028995652
clinicalbert,g2s,14.901855,0.18993187,0.5674583,0.03688391
clinicalbert,g2m,14.8898535,0.11845625,0.5596666,0.015260563
clinicalbert,g2c,15.134123,0.06879458,0.5163407,0.008512273
clinicalbert,g3ms,14.762293,0.100423865,0.5982035,0.013113922
clinicalbert,g3cs,15.394785,0.059577808,0.51082844,0.0059319967
clinicalbert,g4ms,14.785267,0.14376444,0.58606696,0.018941341
clinicalbert,g4cs,15.245583,0.08326122,0.5232547,0.011474396
llama2,g1s,111.04468,4.0065446,0.31633252,0.083804615
llama2,g1m,110.53065,2.3918297,0.31261048,0.045340914
llama2,g1c,110.37141,1.7628975,0.3277995,0.035798002
llama2,g2s,115.188545,1.6766095,0.16985558,0.06675295
llama2,g2m,112.47809,1.7892659,0.19944586,0.0180143
llama2,g2c,113.5143,0.38889137,0.2512986,0.009531414
llama2,g3ms,117.88749,0.6090581,0.25834385,0.017923094
llama2,g3cs,114.77042,0.2821773,0.29266855,0.008105269
llama2,g4ms,115.36219,2.362131,0.19849505,0.029862737
llama2,g4cs,114.61015,1.2034274,0.25820586,0.022804137
mistral,g1s,340.63052,15.151711,0.3008361,0.074111976
mistral,g1m,346.13562,9.439978,0.32104692,0.04681095
mistral,g1c,347.24802,8.449923,0.34422538,0.032860424
mistral,g2s,378.76263,7.6210904,0.2514441,0.07147031
mistral,g2m,367.88113,4.73674,0.2335864,0.023010178
mistral,g2c,356.94937,1.6906301,0.23250432,0.0096773505
mistral,g3ms,372.9151,3.5039532,0.27237916,0.024047172
mistral,g3cs,357.57092,1.4876053,0.2542018,0.008830458
mistral,g4ms,358.5034,10.218231,0.2651056,0.036153436
mistral,g4cs,353.45416,5.442162,0.27541724,0.024241699
